result,fx,fy,cx,cy
0.05348801040927547,1739.13,1739.13,384.0,216.0
0.05255314739196984,1739.13,1739.13,393.6,221.4
0.051571364157549225,1739.13,1739.13,403.20000000000005,226.8
0.04996577849065967,1739.13,1739.13,412.80000000000007,232.20000000000002
0.04967941361499467,1739.13,1739.13,422.40000000000003,237.60000000000002
0.048747866818998065,1739.13,1739.13,432.00000000000006,243.00000000000003
0.0478050932843126,1739.13,1739.13,441.6000000000001,248.40000000000003
0.0468633360487245,1739.13,1739.13,451.2000000000001,253.80000000000004
0.045302827129165536,1739.13,1739.13,460.80000000000007,259.20000000000005
0.04440846185575523,1739.13,1739.13,470.4000000000001,264.6000000000001
0.04403381219344735,1739.13,1739.13,480.0000000000001,270.00000000000006
0.04308268088578431,1739.13,1739.13,489.60000000000014,275.4000000000001
0.042081293751220376,1739.13,1739.13,499.2000000000001,280.80000000000007
0.041364285437314394,1739.13,1739.13,508.8000000000001,286.2000000000001
0.040304613943993206,1739.13,1739.13,518.4000000000001,291.6000000000001
0.039433729700740015,1739.13,1739.13,528.0000000000001,297.00000000000006
0.03788358926923669,1739.13,1739.13,537.6000000000001,302.4000000000001
0.03750755254828865,1739.13,1739.13,547.2000000000002,307.80000000000007
0.03674497092781166,1739.13,1739.13,556.8000000000002,313.2000000000001
0.03553041986613351,1739.13,1739.13,566.4000000000002,318.6000000000001
0.034832666541986634,1739.13,1739.13,576.0000000000002,324.0000000000001
0.03328569683642917,1739.13,1739.13,585.6000000000003,329.4000000000001
0.032861131994311774,1739.13,1739.13,595.2000000000002,334.8000000000001
0.03145116488933269,1739.13,1739.13,604.8000000000002,340.2000000000001
0.031153784771568507,1739.13,1739.13,614.4000000000002,345.60000000000014
0.030398000825401023,1739.13,1739.13,624.0000000000002,351.0000000000001
0.0294309999630261,1739.13,1739.13,633.6000000000003,356.40000000000015
0.02846819425545023,1739.13,1739.13,643.2000000000003,361.8000000000001
0.027599526933583387,1739.13,1739.13,652.8000000000003,367.20000000000016
0.02672891065432147,1739.13,1739.13,662.4000000000003,372.60000000000014
0.025084751822537717,1739.13,1739.13,672.0000000000002,378.00000000000017
0.02483164955411879,1739.13,1739.13,681.6000000000003,383.40000000000015
0.024121853176443265,1739.13,1739.13,691.2000000000003,388.8000000000002
0.023119276426085574,1739.13,1739.13,700.8000000000003,394.20000000000016
0.022270397299399104,1739.13,1739.13,710.4000000000003,399.6000000000002
0.020820167724213884,1739.13,1739.13,720.0000000000003,405.00000000000017
0.02046385697209059,1739.13,1739.13,729.6000000000004,410.4000000000002
0.01957974614885686,1739.13,1739.13,739.2000000000004,415.8000000000002
0.018873426797468243,1739.13,1739.13,748.8000000000003,421.2000000000002
0.01713451486786607,1739.13,1739.13,758.4000000000003,426.6000000000002
0.016233958605481224,1739.13,1739.13,768.0000000000003,432.0000000000002
0.016151894111877865,1739.13,1739.13,777.6000000000004,437.4000000000002
0.015390994498198718,1739.13,1739.13,787.2000000000004,442.80000000000024
0.01378844100025719,1739.13,1739.13,796.8000000000004,448.2000000000002
0.01368015553566686,1739.13,1739.13,806.4000000000004,453.60000000000025
0.012838611276148335,1739.13,1739.13,816.0000000000005,459.0000000000002
0.011978911416738685,1739.13,1739.13,825.6000000000004,464.4000000000002
0.011062445478308085,1739.13,1739.13,835.2000000000004,469.80000000000024
0.01042238118294219,1739.13,1739.13,844.8000000000004,475.2000000000002
0.008541401478760133,1739.13,1739.13,854.4000000000004,480.60000000000025
0.008718319013677294,1739.13,1739.13,864.0000000000005,486.0000000000002
0.00707311598828633,1739.13,1739.13,873.6000000000005,491.40000000000026
0.006081580955106604,1739.13,1739.13,883.2000000000005,496.80000000000024
0.00527900381579616,1739.13,1739.13,892.8000000000005,502.2000000000003
0.0055162415437853725,1739.13,1739.13,902.4000000000004,507.60000000000025
0.004636060206646277,1739.13,1739.13,912.0000000000005,513.0000000000002
0.003884402774983333,1739.13,1739.13,921.6000000000005,518.4000000000003
0.0028623842731873676,1739.13,1739.13,931.2000000000005,523.8000000000003
0.002145464656831629,1739.13,1739.13,940.8000000000005,529.2000000000003
0.0010676934950645711,1739.13,1739.13,950.4000000000005,534.6000000000003
0.000712622593223985,1739.13,1739.13,960.0000000000005,540.0000000000002
0.0007982826324371781,1739.13,1739.13,969.6000000000006,545.4000000000003
0.002514460359473808,1739.13,1739.13,979.2000000000005,550.8000000000003
0.0032587012276789483,1739.13,1739.13,988.8000000000006,556.2000000000004
0.0028692157345794303,1739.13,1739.13,998.4000000000004,561.6000000000003
0.004869337689050979,1739.13,1739.13,1008.0000000000007,567.0000000000003
0.004163460472107715,1739.13,1739.13,1017.6000000000005,572.4000000000003
0.006321740360563748,1739.13,1739.13,1027.2000000000007,577.8000000000004
0.006046825116488114,1739.13,1739.13,1036.8000000000004,583.2000000000003
0.0067998473886695734,1739.13,1739.13,1046.4000000000008,588.6000000000004
0.008566875458168257,1739.13,1739.13,1056.0000000000005,594.0000000000003
0.008219547872902482,1739.13,1739.13,1065.6000000000008,599.4000000000004
0.010364344545304825,1739.13,1739.13,1075.2000000000005,604.8000000000003
0.011173737809804319,1739.13,1739.13,1084.8000000000006,610.2000000000004
0.011850111443000395,1739.13,1739.13,1094.4000000000005,615.6000000000004
0.012682534011136266,1739.13,1739.13,1104.0000000000007,621.0000000000005
0.012203372005350903,1739.13,1739.13,1113.6000000000006,626.4000000000003
0.01412242876122421,1739.13,1739.13,1123.2000000000007,631.8000000000004
0.01396989977392508,1739.13,1739.13,1132.8000000000006,637.2000000000003
0.014715486261189953,1739.13,1739.13,1142.4000000000008,642.6000000000005
0.015492125345600955,1739.13,1739.13,1152.0000000000007,648.0000000000003
0.017354878775770816,1739.13,1739.13,1161.6000000000008,653.4000000000004
0.017034634866134952,1739.13,1739.13,1171.2000000000007,658.8000000000003
0.017791563578884926,1739.13,1739.13,1180.8000000000009,664.2000000000005
0.019400334678452372,1739.13,1739.13,1190.4000000000005,669.6000000000004
0.020509649832327687,1739.13,1739.13,1200.000000000001,675.0000000000005
0.021095068175171202,1739.13,1739.13,1209.6000000000006,680.4000000000003
0.02080600804716682,1739.13,1739.13,1219.200000000001,685.8000000000005
0.021440326013907416,1739.13,1739.13,1228.8000000000006,691.2000000000004
0.022389603989329886,1739.13,1739.13,1238.400000000001,696.6000000000005
0.02309672089081886,1739.13,1739.13,1248.0000000000007,702.0000000000003
0.02390690766864191,1739.13,1739.13,1257.6000000000008,707.4000000000005
0.024780690291504367,1739.13,1739.13,1267.2000000000007,712.8000000000004
0.026619067078414427,1739.13,1739.13,1276.8000000000009,718.2000000000005
0.02730447145660358,1739.13,1739.13,1286.4000000000008,723.6000000000004
0.02792507766069081,1739.13,1739.13,1296.000000000001,729.0000000000006
0.027894378590421414,1739.13,1739.13,1305.6000000000008,734.4000000000004
0.029496713695805643,1739.13,1739.13,1315.200000000001,739.8000000000005
0.029310158542843606,1739.13,1739.13,1324.8000000000006,745.2000000000004
0.030106139858914083,1739.13,1739.13,1334.400000000001,750.6000000000006
0.03094656658275624,1739.13,1739.13,1344.0000000000007,756.0000000000005
0.031664889738582364,1739.13,1739.13,1353.600000000001,761.4000000000005
0.0324448832943541,1739.13,1739.13,1363.2000000000007,766.8000000000004
0.03310206630642387,1739.13,1739.13,1372.800000000001,772.2000000000006
0.034880155778110135,1739.13,1739.13,1382.4000000000008,777.6000000000005
0.03469186978453597,1739.13,1739.13,1392.000000000001,783.0000000000006
0.0,1739.13,1739.13,1401.6000000000008,788.4000000000004
0.0,1739.13,1739.13,1411.200000000001,793.8000000000006
0.03701299063649497,1739.13,1739.13,1420.8000000000009,799.2000000000005
0.03854050244904319,1739.13,1739.13,1430.400000000001,804.6000000000006
0.0,1739.13,1739.13,1440.000000000001,810.0000000000005
0.0,1739.13,1739.13,1449.600000000001,815.4000000000007
0.04087049313724633,1739.13,1739.13,1459.200000000001,820.8000000000005
0.041695250838106934,1739.13,1739.13,1468.800000000001,826.2000000000006
0.0,1739.13,1739.13,1478.400000000001,831.6000000000005
0.04291956619715437,1739.13,1739.13,1488.0000000000011,837.0000000000006
0.0,1739.13,1739.13,1497.6000000000008,842.4000000000005
0.04453634726870608,1739.13,1739.13,1507.2000000000012,847.8000000000006
0.0,1739.13,1739.13,1516.8000000000009,853.2000000000005
0.0,1739.13,1739.13,1526.4000000000012,858.6000000000006
0.0,1739.13,1739.13,1536.000000000001,864.0000000000006
