variance,percentage,fxy,cxy,reward,done
0.3,0.0,-0.03,0.05,0.0198,False
0.3,0.0,-0.02,-0.1,0.0089,False
0.3,0.0,-0.02,-0.05,0.012,False
0.3,0.0,-0.02,0.05,0.0141,False
0.3,0.0,-0.01,-0.35,0.0207,False
0.3,0.0,-0.01,-0.3,0.0173,False
0.3,0.0,-0.01,-0.25,0.014,False
0.3,0.0,-0.01,-0.1,0.0081,False
0.3,0.0,-0.01,-0.05,0.0074,False
0.3,0.0,-0.01,0.0,0.0083,False
0.3,0.0,-0.01,0.05,0.0094,False
0.3,0.0,-0.01,0.1,0.0113,False
0.3,0.0,0.0,-0.05,0.0079,False
0.3,0.0,0.0,0.0,0.0058,False
0.3,0.0,0.0,0.05,0.006,False
0.3,0.0,0.0,0.1,0.0072,False
0.3,0.0,0.0,0.15,0.009,False
0.3,0.0,0.01,-0.15,0.0153,False
0.3,0.0,0.01,-0.1,0.0125,False
0.3,0.0,0.01,-0.05,0.01,False
0.3,0.0,0.01,0.0,0.0078,False
0.3,0.0,0.01,0.05,0.0054,False
0.3,0.0,0.01,0.2,0.008,False
0.3,0.0,0.02,-0.2,0.022,False
0.3,0.0,0.02,-0.15,0.0192,False
0.3,0.0,0.02,-0.05,0.0135,False
0.3,0.0,0.02,0.0,0.0108,False
0.3,0.0,0.03,-0.2,0.0261,False
0.3,0.0,0.03,-0.15,0.0231,False
0.3,0.0,0.03,-0.05,0.0173,False
0.3,0.0,0.03,0.0,0.0145,False
0.3,0.05,-0.05,0.15,0.0333,False
0.3,0.05,-0.04,0.05,0.023,False
0.3,0.05,-0.04,0.1,0.0257,False
0.3,0.05,-0.04,0.15,0.028,False
0.3,0.05,-0.03,0.05,0.0198,False
0.3,0.05,-0.03,0.1,0.0206,False
0.3,0.05,-0.01,-0.3,0.0173,False
0.3,0.05,-0.01,-0.05,0.0074,False
0.3,0.05,-0.01,0.0,0.0083,False
0.3,0.05,-0.01,0.05,0.0094,False
0.3,0.05,-0.01,0.1,0.0113,False
0.3,0.05,-0.01,0.15,0.0134,False
0.3,0.05,0.0,0.0,0.0058,False
0.3,0.05,0.0,0.05,0.006,False
0.3,0.05,0.0,0.1,0.0072,False
0.3,0.05,0.0,0.15,0.009,False
0.3,0.05,0.01,-0.2,0.018,False
0.3,0.05,0.01,0.05,0.0054,False
0.3,0.05,0.01,0.1,0.0045,False
0.3,0.05,0.01,0.2,0.008,False
0.3,0.05,0.02,-0.2,0.022,False
0.3,0.05,0.02,-0.15,0.0192,False
0.3,0.05,0.02,-0.1,0.0162,False
0.3,0.05,0.02,0.0,0.0108,False
0.3,0.05,0.02,0.15,0.006,False
0.3,0.05,0.02,0.2,0.0065,False
0.3,0.05,0.02,0.25,0.0087,False
0.3,0.05,0.03,-0.05,0.0173,False
0.3,0.05,0.03,0.0,0.0145,False
0.3,0.05,0.03,0.05,0.0119,False
0.3,0.05,0.03,0.1,0.0102,False
0.3,0.05,0.04,0.1,0.0135,False
0.3,0.05,0.05,0.1,0.0182,False
0.3,0.05,0.06,-0.1,0.032,False
0.3,0.1,-0.05,0.1,0.031,False
0.3,0.1,-0.05,0.15,0.0333,False
0.3,0.1,-0.05,0.2,0.0358,False
0.3,0.1,-0.04,0.1,0.0257,False
0.3,0.1,-0.04,0.2,0.0304,False
0.3,0.1,-0.03,0.05,0.0198,False
0.3,0.1,-0.03,0.1,0.0206,False
0.3,0.1,-0.03,0.15,0.0233,False
0.3,0.1,0.0,-0.25,0.0175,False
0.3,0.1,0.0,0.0,0.0058,False
0.3,0.1,0.01,-0.25,0.0213,False
0.3,0.1,0.01,-0.2,0.018,False
0.3,0.1,0.01,0.0,0.0078,False
0.3,0.1,0.01,0.2,0.008,False
0.3,0.1,0.02,-0.2,0.022,False
0.3,0.1,0.02,0.0,0.0108,False
0.3,0.1,0.02,0.05,0.0086,False
0.3,0.1,0.02,0.2,0.0065,False
0.3,0.1,0.03,0.0,0.0145,False
0.3,0.15,-0.05,0.05,0.0286,False
0.3,0.15,-0.05,0.2,0.0358,False
0.3,0.15,-0.04,0.05,0.023,False
0.3,0.15,-0.03,0.0,0.0175,False
0.3,0.15,-0.03,0.05,0.0198,False
0.3,0.15,-0.02,0.05,0.0141,False
0.3,0.15,0.0,0.0,0.0058,False
0.3,0.15,0.0,0.05,0.006,False
0.3,0.15,0.01,-0.2,0.018,False
0.3,0.15,0.01,0.0,0.0078,False
0.3,0.15,0.01,0.05,0.0054,False
0.3,0.15,0.01,0.1,0.0045,False
0.3,0.15,0.02,-0.2,0.022,False
0.3,0.15,0.02,0.0,0.0108,False
0.3,0.15,0.03,0.0,0.0145,False
0.3,0.2,0.04,-0.1,0.0241,False
0.3,0.25,-0.09,-0.15,0.0393,False
0.3,0.25,-0.09,-0.1,0.0424,False
0.3,0.25,-0.08,-0.15,0.0341,False
0.3,0.25,-0.08,-0.1,0.0367,False
0.3,0.25,-0.08,-0.05,0.0396,False
0.3,0.25,-0.07,-0.1,0.031,False
0.3,0.25,-0.07,-0.05,0.0345,False
0.3,0.25,-0.06,-0.15,0.0233,False
0.3,0.25,-0.06,-0.1,0.0259,False
0.3,0.25,-0.06,-0.05,0.0287,False
0.3,0.25,-0.06,0.0,0.0312,False
0.3,0.25,-0.05,-0.05,0.0234,False
0.3,0.25,0.0,-0.2,0.0143,False
0.3,0.25,0.0,-0.15,0.0117,False
0.3,0.25,0.0,-0.1,0.0089,False
0.3,0.25,0.01,-0.2,0.018,False
0.3,0.25,0.01,-0.1,0.0125,False
0.3,0.25,0.01,-0.05,0.01,False
0.3,0.25,0.02,-0.1,0.0162,False
0.3,0.25,0.03,-0.4,0.0397,False
0.3,0.25,0.04,-0.4,0.0435,False
0.3,0.25,0.04,-0.2,0.03,False
0.3,0.25,0.04,-0.15,0.027,False
0.3,0.25,0.04,-0.1,0.0241,False
0.3,0.3,-0.09,-0.15,0.0393,False
0.3,0.3,-0.09,-0.1,0.0424,False
0.3,0.3,-0.08,-0.15,0.0341,False
0.3,0.3,-0.08,-0.05,0.0396,False
0.3,0.3,-0.07,-0.15,0.0284,False
0.3,0.3,-0.07,-0.1,0.031,False
0.3,0.3,-0.07,-0.05,0.0345,False
0.3,0.3,-0.07,0.05,0.0394,False
0.3,0.3,-0.06,-0.15,0.0233,False
0.3,0.3,-0.06,-0.1,0.0259,False
0.3,0.3,-0.06,-0.05,0.0287,False
0.3,0.3,-0.06,0.0,0.0312,False
0.3,0.3,-0.06,0.05,0.0338,False
0.3,0.3,-0.05,-0.1,0.0211,False
0.3,0.3,-0.05,-0.05,0.0234,False
0.3,0.3,-0.05,0.0,0.0261,False
0.3,0.3,-0.04,-0.1,0.0163,False
0.3,0.3,-0.04,-0.05,0.0189,False
0.3,0.3,-0.04,0.0,0.0207,False
0.3,0.3,0.03,-0.4,0.0397,False
0.3,0.3,0.04,-0.4,0.0435,False
0.3,0.3,0.06,-0.35,0.0475,False
0.3,0.35,-0.07,-0.1,0.031,False
0.3,0.35,-0.06,-0.15,0.0233,False
0.3,0.35,-0.05,0.0,0.0261,False
0.3,0.35,-0.04,-0.1,0.0163,False
0.3,0.35,0.0,-0.2,0.0143,False
0.3,0.35,0.01,-0.25,0.0213,False
0.3,0.35,0.01,-0.2,0.018,False
0.3,0.35,0.02,-0.25,0.0253,False
0.3,0.4,-0.07,-0.15,0.0284,False
0.3,0.4,-0.07,-0.1,0.031,False
0.3,0.4,-0.06,-0.15,0.0233,False
0.3,0.4,-0.06,-0.1,0.0259,False
0.3,0.4,-0.06,-0.05,0.0287,False
0.3,0.4,-0.05,-0.15,0.0188,False
0.3,0.4,-0.05,-0.1,0.0211,False
0.3,0.4,-0.05,-0.05,0.0234,False
0.3,0.4,-0.05,0.0,0.0261,False
0.3,0.4,-0.04,-0.1,0.0163,False
0.3,0.4,0.0,-0.2,0.0143,False
0.3,0.45,-0.07,-0.05,0.0345,False
0.3,0.45,-0.06,-0.05,0.0287,False
0.3,0.45,-0.04,-0.05,0.0189,False
0.3,0.5,-0.06,0.05,0.0338,False
0.3,0.5,-0.05,0.0,0.0261,False
0.3,0.5,-0.05,0.05,0.0286,False
0.3,0.5,-0.04,-0.15,0.014,False
0.3,0.5,-0.04,-0.1,0.0163,False
0.3,0.5,-0.04,-0.05,0.0189,False
0.3,0.5,-0.04,0.0,0.0207,False
0.3,0.5,-0.04,0.05,0.023,False
0.3,0.5,-0.03,-0.15,0.0105,False
0.3,0.5,-0.03,-0.1,0.0126,False
0.3,0.5,-0.03,-0.05,0.0156,False
0.3,0.55,-0.06,-0.05,0.0287,False
0.3,0.55,-0.06,0.0,0.0312,False
0.3,0.55,-0.05,0.0,0.0261,False
0.3,0.55,-0.03,-0.1,0.0126,False
0.3,0.6,-0.06,-0.05,0.0287,False
0.3,0.6,-0.06,0.0,0.0312,False
0.3,0.6,-0.05,0.0,0.0261,False
0.3,0.65,-0.05,0.0,0.0261,False
0.3,0.7,-0.05,0.15,0.0333,False
0.3,0.7,-0.05,0.2,0.0358,False
0.3,0.7,-0.04,0.2,0.0304,False
0.3,0.75,-0.05,0.15,0.0333,False
0.3,0.75,-0.04,0.15,0.028,False
0.3,0.75,-0.04,0.2,0.0304,False
0.4,0.0,-0.05,-0.15,0.0188,False
0.4,0.0,-0.04,-0.15,0.014,False
0.4,0.0,-0.03,-0.2,0.0098,False
0.4,0.0,-0.03,-0.15,0.0105,False
0.4,0.0,-0.02,-0.2,0.0093,False
0.4,0.0,-0.02,-0.15,0.0081,False
0.4,0.0,-0.02,-0.1,0.0089,False
0.4,0.0,-0.02,-0.05,0.012,False
0.4,0.0,-0.02,0.0,0.012,False
0.4,0.0,-0.02,0.05,0.0141,False
0.4,0.0,-0.02,0.1,0.0162,False
0.4,0.0,-0.02,0.15,0.018,False
0.4,0.0,-0.01,-0.35,0.0207,False
0.4,0.0,-0.01,-0.25,0.014,False
0.4,0.0,-0.01,-0.15,0.0091,False
0.4,0.0,-0.01,-0.05,0.0074,False
0.4,0.0,-0.01,0.0,0.0083,False
0.4,0.0,-0.01,0.05,0.0094,False
0.4,0.0,-0.01,0.1,0.0113,False
0.4,0.0,0.0,-0.25,0.0175,False
0.4,0.0,0.0,-0.1,0.0089,False
0.4,0.0,0.0,-0.05,0.0079,False
0.4,0.0,0.0,0.0,0.0058,False
0.4,0.0,0.0,0.05,0.006,False
0.4,0.0,0.0,0.1,0.0072,False
0.4,0.0,0.0,0.15,0.009,False
0.4,0.0,0.01,-0.2,0.018,False
0.4,0.0,0.01,-0.15,0.0153,False
0.4,0.0,0.01,-0.1,0.0125,False
0.4,0.0,0.01,0.0,0.0078,False
0.4,0.0,0.02,-0.2,0.022,False
0.4,0.0,0.03,-0.3,0.0325,False
0.4,0.0,0.03,-0.25,0.0292,False
0.4,0.0,0.03,-0.2,0.0261,False
0.4,0.0,0.03,-0.15,0.0231,False
0.4,0.0,0.03,-0.05,0.0173,False
0.4,0.0,0.03,0.0,0.0145,False
0.4,0.0,0.03,0.4,0.019,False
0.4,0.0,0.04,-0.25,0.0332,False
0.4,0.0,0.04,-0.2,0.03,False
0.4,0.0,0.04,-0.15,0.027,False
0.4,0.0,0.04,0.05,0.0164,False
0.4,0.0,0.04,0.1,0.0135,False
0.4,0.0,0.05,0.1,0.0182,False
0.4,0.05,-0.05,-0.15,0.0188,False
0.4,0.05,-0.04,-0.15,0.014,False
0.4,0.05,-0.04,0.05,0.023,False
0.4,0.05,-0.03,-0.15,0.0105,False
0.4,0.05,-0.03,0.05,0.0198,False
0.4,0.05,-0.03,0.1,0.0206,False
0.4,0.05,-0.03,0.15,0.0233,False
0.4,0.05,-0.02,-0.2,0.0093,False
0.4,0.05,-0.02,-0.15,0.0081,False
0.4,0.05,-0.02,-0.05,0.012,False
0.4,0.05,-0.02,0.05,0.0141,False
0.4,0.05,-0.02,0.1,0.0162,False
0.4,0.05,-0.02,0.15,0.018,False
0.4,0.05,-0.01,-0.3,0.0173,False
0.4,0.05,-0.01,-0.25,0.014,False
0.4,0.05,-0.01,-0.15,0.0091,False
0.4,0.05,-0.01,-0.05,0.0074,False
0.4,0.05,-0.01,0.0,0.0083,False
0.4,0.05,-0.01,0.05,0.0094,False
0.4,0.05,-0.01,0.1,0.0113,False
0.4,0.05,0.0,-0.25,0.0175,False
0.4,0.05,0.0,-0.2,0.0143,False
0.4,0.05,0.0,-0.1,0.0089,False
0.4,0.05,0.0,-0.05,0.0079,False
0.4,0.05,0.0,0.0,0.0058,False
0.4,0.05,0.0,0.05,0.006,False
0.4,0.05,0.01,-0.25,0.0213,False
0.4,0.05,0.01,-0.2,0.018,False
0.4,0.05,0.01,-0.15,0.0153,False
0.4,0.05,0.01,-0.1,0.0125,False
0.4,0.05,0.01,0.1,0.0045,False
0.4,0.05,0.01,0.15,0.006,False
0.4,0.05,0.01,0.25,0.0111,False
0.4,0.05,0.02,-0.2,0.022,False
0.4,0.05,0.02,-0.15,0.0192,False
0.4,0.05,0.02,-0.1,0.0162,False
0.4,0.05,0.02,-0.05,0.0135,False
0.4,0.05,0.02,0.15,0.006,False
0.4,0.05,0.02,0.2,0.0065,False
0.4,0.05,0.02,0.25,0.0087,False
0.4,0.05,0.03,-0.05,0.0173,False
0.4,0.05,0.03,0.0,0.0145,False
0.4,0.05,0.03,0.05,0.0119,False
0.4,0.05,0.03,0.15,0.0085,False
0.4,0.05,0.03,0.2,0.0077,False
0.4,0.05,0.04,-0.1,0.0241,False
0.4,0.05,0.05,-0.1,0.028,False
0.4,0.05,0.05,0.1,0.0182,False
0.4,0.05,0.06,-0.1,0.032,False
0.4,0.1,-0.07,-0.15,0.0284,False
0.4,0.1,-0.05,0.05,0.0286,False
0.4,0.1,-0.05,0.1,0.031,False
0.4,0.1,-0.05,0.15,0.0333,False
0.4,0.1,-0.04,0.1,0.0257,False
0.4,0.1,-0.04,0.15,0.028,False
0.4,0.1,-0.04,0.2,0.0304,False
0.4,0.1,-0.03,0.1,0.0206,False
0.4,0.1,-0.03,0.15,0.0233,False
0.4,0.1,-0.02,-0.2,0.0093,False
0.4,0.1,-0.02,-0.15,0.0081,False
0.4,0.1,-0.02,0.1,0.0162,False
0.4,0.1,-0.02,0.15,0.018,False
0.4,0.1,-0.01,-0.15,0.0091,False
0.4,0.1,-0.01,0.05,0.0094,False
0.4,0.1,-0.01,0.1,0.0113,False
0.4,0.1,0.0,-0.25,0.0175,False
0.4,0.1,0.0,-0.2,0.0143,False
0.4,0.1,0.0,-0.15,0.0117,False
0.4,0.1,0.0,-0.05,0.0079,False
0.4,0.1,0.0,0.0,0.0058,False
0.4,0.1,0.01,-0.05,0.01,False
0.4,0.1,0.01,0.0,0.0078,False
0.4,0.1,0.01,0.15,0.006,False
0.4,0.1,0.01,0.2,0.008,False
0.4,0.1,0.02,-0.05,0.0135,False
0.4,0.1,0.02,0.0,0.0108,False
0.4,0.1,0.02,0.05,0.0086,False
0.4,0.1,0.02,0.1,0.0067,False
0.4,0.1,0.02,0.15,0.006,False
0.4,0.1,0.02,0.2,0.0065,False
0.4,0.1,0.03,-0.1,0.0203,False
0.4,0.1,0.03,-0.05,0.0173,False
0.4,0.1,0.03,0.0,0.0145,False
0.4,0.1,0.03,0.05,0.0119,False
0.4,0.1,0.03,0.1,0.0102,False
0.4,0.15,-0.07,-0.15,0.0284,False
0.4,0.15,-0.06,-0.15,0.0233,False
0.4,0.15,-0.05,-0.15,0.0188,False
0.4,0.15,-0.05,0.05,0.0286,False
0.4,0.15,-0.05,0.15,0.0333,False
0.4,0.15,-0.05,0.2,0.0358,False
0.4,0.15,-0.04,0.15,0.028,False
0.4,0.15,-0.04,0.2,0.0304,False
0.4,0.15,-0.03,0.05,0.0198,False
0.4,0.15,-0.01,0.05,0.0094,False
0.4,0.15,0.0,-0.2,0.0143,False
0.4,0.15,0.0,0.0,0.0058,False
0.4,0.15,0.0,0.05,0.006,False
0.4,0.15,0.01,-0.2,0.018,False
0.4,0.15,0.01,0.0,0.0078,False
0.4,0.15,0.01,0.05,0.0054,False
0.4,0.15,0.02,-0.05,0.0135,False
0.4,0.15,0.02,0.0,0.0108,False
0.4,0.15,0.03,-0.1,0.0203,False
0.4,0.15,0.03,0.0,0.0145,False
0.4,0.2,-0.05,-0.2,0.0158,False
0.4,0.2,-0.05,-0.15,0.0188,False
0.4,0.2,-0.05,0.1,0.031,False
0.4,0.2,-0.05,0.15,0.0333,False
0.4,0.2,-0.04,-0.15,0.014,False
0.4,0.2,-0.03,0.05,0.0198,False
0.4,0.2,-0.01,-0.4,0.0249,False
0.4,0.2,0.01,-0.2,0.018,False
0.4,0.2,0.01,0.05,0.0054,False
0.4,0.2,0.01,0.1,0.0045,False
0.4,0.2,0.01,0.15,0.006,False
0.4,0.2,0.02,0.05,0.0086,False
0.4,0.2,0.02,0.1,0.0067,False
0.4,0.2,0.02,0.15,0.006,False
0.4,0.2,0.03,-0.15,0.0231,False
0.4,0.2,0.03,-0.1,0.0203,False
0.4,0.2,0.04,-0.1,0.0241,False
0.4,0.25,-0.08,-0.15,0.0341,False
0.4,0.25,-0.08,-0.1,0.0367,False
0.4,0.25,-0.07,-0.15,0.0284,False
0.4,0.25,-0.07,-0.1,0.031,False
0.4,0.25,-0.07,-0.05,0.0345,False
0.4,0.25,-0.07,0.0,0.0364,False
0.4,0.25,-0.07,0.05,0.0394,False
0.4,0.25,-0.06,-0.1,0.0259,False
0.4,0.25,-0.06,0.0,0.0312,False
0.4,0.25,-0.06,0.05,0.0338,False
0.4,0.25,-0.06,0.1,0.0362,False
0.4,0.25,-0.05,0.0,0.0261,False
0.4,0.25,-0.05,0.05,0.0286,False
0.4,0.25,-0.05,0.1,0.031,False
0.4,0.25,-0.04,0.0,0.0207,False
0.4,0.25,-0.04,0.05,0.023,False
0.4,0.25,-0.03,0.05,0.0198,False
0.4,0.25,-0.01,-0.4,0.0249,False
0.4,0.25,0.01,-0.2,0.018,False
0.4,0.25,0.01,-0.15,0.0153,False
0.4,0.25,0.01,0.15,0.006,False
0.4,0.25,0.02,-0.4,0.0359,False
0.4,0.25,0.02,-0.1,0.0162,False
0.4,0.25,0.02,0.15,0.006,False
0.4,0.25,0.03,-0.45,0.044,False
0.4,0.25,0.03,-0.4,0.0397,False
0.4,0.25,0.03,-0.15,0.0231,False
0.4,0.25,0.03,-0.1,0.0203,False
0.4,0.25,0.04,-0.2,0.03,False
0.4,0.3,-0.08,-0.15,0.0341,False
0.4,0.3,-0.07,-0.1,0.031,False
0.4,0.3,-0.07,-0.05,0.0345,False
0.4,0.3,-0.06,-0.1,0.0259,False
0.4,0.3,-0.06,-0.05,0.0287,False
0.4,0.3,-0.06,0.0,0.0312,False
0.4,0.3,-0.05,0.0,0.0261,False
0.4,0.3,-0.04,0.0,0.0207,False
0.4,0.3,-0.04,0.05,0.023,False
0.4,0.3,0.01,-0.2,0.018,False
0.4,0.3,0.04,-0.4,0.0435,False
0.4,0.3,0.05,-0.4,0.0475,False
0.4,0.3,0.05,-0.35,0.0438,False
0.4,0.3,0.06,-0.35,0.0475,False
0.4,0.35,-0.07,-0.1,0.031,False
0.4,0.35,0.0,-0.2,0.0143,False
0.4,0.35,0.01,-0.25,0.0213,False
0.4,0.35,0.01,-0.2,0.018,False
0.4,0.35,0.02,-0.25,0.0253,False
0.4,0.4,-0.07,-0.1,0.031,False
0.4,0.4,-0.07,-0.05,0.0345,False
0.4,0.4,-0.06,-0.05,0.0287,False
0.4,0.4,-0.06,0.0,0.0312,False
0.4,0.4,-0.05,-0.05,0.0234,False
0.4,0.4,-0.05,0.0,0.0261,False
0.4,0.4,-0.01,-0.1,0.0081,False
0.4,0.4,0.0,-0.2,0.0143,False
0.4,0.4,0.01,-0.2,0.018,False
0.4,0.4,0.01,-0.15,0.0153,False
0.4,0.4,0.02,-0.25,0.0253,False
0.4,0.4,0.02,-0.2,0.022,False
0.4,0.4,0.02,-0.15,0.0192,False
0.4,0.45,-0.07,-0.05,0.0345,False
0.4,0.45,-0.06,-0.05,0.0287,False
0.4,0.45,-0.01,-0.1,0.0081,False
0.4,0.5,-0.07,-0.15,0.0284,False
0.4,0.5,-0.07,-0.1,0.031,False
0.4,0.5,-0.07,-0.05,0.0345,False
0.4,0.5,-0.06,-0.1,0.0259,False
0.4,0.5,-0.06,-0.05,0.0287,False
0.4,0.5,-0.03,-0.1,0.0126,False
0.4,0.5,-0.02,-0.1,0.0089,False
0.4,0.5,-0.01,-0.1,0.0081,False
0.4,0.55,-0.04,-0.1,0.0163,False
0.4,0.55,-0.03,-0.1,0.0126,False
0.4,0.6,-0.05,0.0,0.0261,False
0.4,0.6,-0.05,0.05,0.0286,False
0.4,0.6,-0.05,0.1,0.031,False
0.4,0.65,-0.04,0.15,0.028,False
0.4,0.65,-0.04,0.2,0.0304,False
0.4,0.7,-0.04,0.1,0.0257,False
0.4,0.7,-0.04,0.15,0.028,False
0.4,0.7,-0.04,0.2,0.0304,False
0.4,0.75,-0.04,0.2,0.0304,False
0.5,0.0,-0.05,-0.1,0.0211,False
0.5,0.0,-0.05,-0.05,0.0234,False
0.5,0.0,-0.04,-0.15,0.014,False
0.5,0.0,-0.04,-0.1,0.0163,False
0.5,0.0,-0.03,-0.2,0.0098,False
0.5,0.0,-0.03,-0.15,0.0105,False
0.5,0.0,-0.02,-0.05,0.012,False
0.5,0.0,-0.02,0.0,0.012,False
0.5,0.0,-0.02,0.05,0.0141,False
0.5,0.0,-0.01,-0.45,0.0294,False
0.5,0.0,-0.01,-0.4,0.0249,False
0.5,0.0,-0.01,-0.35,0.0207,False
0.5,0.0,0.0,-0.35,0.0246,False
0.5,0.0,0.0,0.05,0.006,False
0.5,0.0,0.01,-0.15,0.0153,False
0.5,0.0,0.01,-0.1,0.0125,False
0.5,0.0,0.01,0.05,0.0054,False
0.5,0.0,0.01,0.1,0.0045,False
0.5,0.0,0.02,-0.05,0.0135,False
0.5,0.0,0.02,0.0,0.0108,False
0.5,0.0,0.02,0.05,0.0086,False
0.5,0.0,0.03,-0.3,0.0325,False
0.5,0.0,0.03,-0.25,0.0292,False
0.5,0.0,0.03,0.0,0.0145,False
0.5,0.0,0.03,0.4,0.019,False
0.5,0.0,0.04,0.0,0.02,False
0.5,0.0,0.04,0.05,0.0164,False
0.5,0.0,0.04,0.4,0.0186,False
