,fxy_l,fxy_r,percentage_l,percentage_r,variance_l,variance_r,cxy_l,cxy_r,接受,数量
0,inf,0.0,inf,0.0,inf,0.3,inf,0.1,True,"[2, 0]"
1,inf,0.0,inf,0.0,inf,0.3,0.1,-inf,False,"[0, 1]"
2,inf,0.0,inf,0.0,0.3,0.4,inf,0.1,True,"[2, 0]"
3,inf,0.0,inf,0.0,0.3,0.4,0.1,-inf,False,"[0, 1]"
4,inf,0.0,inf,0.0,0.4,0.5,inf,0.1,True,"[2, 0]"
5,inf,0.0,inf,0.0,0.4,0.5,0.1,-inf,False,"[0, 1]"
6,inf,0.0,inf,0.0,0.5,0.6,inf,0.1,True,"[2, 0]"
7,inf,0.0,inf,0.0,0.5,0.6,0.1,-inf,False,"[0, 1]"
8,inf,0.0,inf,0.0,0.6,0.7,inf,0.1,True,"[2, 0]"
9,inf,0.0,inf,0.0,0.6,0.7,0.1,-inf,False,"[0, 1]"
10,inf,0.0,inf,0.0,0.7,0.8,inf,0.1,True,"[2, 0]"
11,inf,0.0,inf,0.0,0.7,0.8,0.1,-inf,False,"[0, 1]"
12,inf,0.0,inf,0.0,0.8,0.9,inf,0.1,True,"[2, 0]"
13,inf,0.0,inf,0.0,0.8,0.9,0.1,-inf,False,"[0, 1]"
14,inf,0.0,inf,0.0,0.9,1.0,inf,0.1,True,"[2, 0]"
15,inf,0.0,inf,0.0,0.9,1.0,0.1,-inf,False,"[0, 1]"
16,inf,0.0,inf,0.0,1.0,1.1,inf,0.1,True,"[2, 0]"
17,inf,0.0,inf,0.0,1.0,1.1,0.1,-inf,False,"[0, 1]"
18,inf,0.0,inf,0.0,1.1,1.2,inf,0.1,True,"[2, 0]"
19,inf,0.0,inf,0.0,1.1,1.2,0.1,-inf,False,"[0, 1]"
20,inf,0.0,inf,0.0,1.2,1.3,inf,0.1,True,"[2, 0]"
21,inf,0.0,inf,0.0,1.2,1.3,0.1,-inf,False,"[0, 1]"
22,inf,0.0,inf,0.0,1.3,1.6,inf,-inf,True,"[6, 0]"
23,inf,0.0,inf,0.0,1.6,1.7,inf,0.1,True,"[2, 0]"
24,inf,0.0,inf,0.0,1.6,1.7,0.1,-inf,False,"[0, 1]"
25,inf,0.0,inf,0.0,1.7,2.0,inf,-inf,True,"[6, 0]"
26,inf,0.0,inf,0.0,2.0,-inf,inf,0.1,True,"[1, 0]"
27,inf,0.0,inf,0.0,2.0,-inf,0.1,-inf,False,"[0, 1]"
28,inf,0.0,0.0,0.1,inf,0.3,inf,0.1,True,"[2, 0]"
29,inf,0.0,0.0,0.1,inf,0.3,0.1,-inf,False,"[0, 1]"
30,inf,0.0,0.0,0.1,0.3,0.4,inf,0.1,True,"[2, 0]"
31,inf,0.0,0.0,0.1,0.3,0.4,0.1,-inf,False,"[0, 1]"
32,inf,0.0,0.0,0.1,0.4,0.5,inf,0.1,True,"[2, 0]"
33,inf,0.0,0.0,0.1,0.4,0.5,0.1,-inf,False,"[0, 1]"
34,inf,0.0,0.0,0.1,0.5,0.6,inf,0.1,True,"[2, 0]"
35,inf,0.0,0.0,0.1,0.5,0.6,0.1,-inf,False,"[0, 1]"
36,inf,0.0,0.0,0.1,0.6,0.7,inf,0.1,True,"[2, 0]"
37,inf,0.0,0.0,0.1,0.6,0.7,0.1,-inf,False,"[0, 1]"
38,inf,0.0,0.0,0.1,0.7,0.8,inf,0.1,True,"[2, 0]"
39,inf,0.0,0.0,0.1,0.7,0.8,0.1,-inf,False,"[0, 1]"
40,inf,0.0,0.0,0.1,0.8,0.9,inf,0.1,True,"[2, 0]"
41,inf,0.0,0.0,0.1,0.8,0.9,0.1,-inf,False,"[0, 1]"
42,inf,0.0,0.0,0.1,0.9,1.0,inf,0.1,True,"[2, 0]"
43,inf,0.0,0.0,0.1,0.9,1.0,0.1,-inf,False,"[0, 1]"
44,inf,0.0,0.0,0.1,1.0,1.1,inf,0.1,True,"[2, 0]"
45,inf,0.0,0.0,0.1,1.0,1.1,0.1,-inf,False,"[0, 1]"
46,inf,0.0,0.0,0.1,1.1,1.2,inf,0.1,True,"[2, 0]"
47,inf,0.0,0.0,0.1,1.1,1.2,0.1,-inf,False,"[0, 1]"
48,inf,0.0,0.0,0.1,1.2,1.3,inf,-inf,True,"[2, 0]"
49,inf,0.0,0.0,0.1,1.3,1.4,inf,0.1,True,"[2, 0]"
50,inf,0.0,0.0,0.1,1.3,1.4,0.1,-inf,False,"[0, 1]"
51,inf,0.0,0.0,0.1,1.4,1.5,inf,0.1,True,"[2, 0]"
52,inf,0.0,0.0,0.1,1.4,1.5,0.1,-inf,False,"[0, 1]"
53,inf,0.0,0.0,0.1,1.5,2.0,inf,-inf,True,"[10, 0]"
54,inf,0.0,0.0,0.1,2.0,-inf,inf,0.1,True,"[2, 0]"
55,inf,0.0,0.0,0.1,2.0,-inf,0.1,-inf,False,"[0, 1]"
56,inf,0.0,0.1,0.2,inf,0.3,inf,0.1,True,"[2, 0]"
57,inf,0.0,0.1,0.2,inf,0.3,0.1,-inf,False,"[0, 1]"
58,inf,0.0,0.1,0.2,0.3,0.4,inf,0.1,True,"[2, 0]"
59,inf,0.0,0.1,0.2,0.3,0.4,0.1,-inf,False,"[0, 1]"
60,inf,0.0,0.1,0.2,0.4,0.5,inf,0.1,True,"[2, 0]"
61,inf,0.0,0.1,0.2,0.4,0.5,0.1,-inf,False,"[0, 1]"
62,inf,0.0,0.1,0.2,0.5,0.6,inf,0.1,True,"[2, 0]"
63,inf,0.0,0.1,0.2,0.5,0.6,0.1,-inf,False,"[0, 1]"
64,inf,0.0,0.1,0.2,0.6,0.7,inf,0.1,True,"[2, 0]"
65,inf,0.0,0.1,0.2,0.6,0.7,0.1,-inf,False,"[0, 1]"
66,inf,0.0,0.1,0.2,0.7,0.8,inf,0.1,True,"[2, 0]"
67,inf,0.0,0.1,0.2,0.7,0.8,0.1,-inf,False,"[0, 1]"
68,inf,0.0,0.1,0.2,0.8,0.9,inf,0.1,True,"[2, 0]"
69,inf,0.0,0.1,0.2,0.8,0.9,0.1,-inf,False,"[0, 1]"
70,inf,0.0,0.1,0.2,0.9,1.0,inf,0.1,True,"[2, 0]"
71,inf,0.0,0.1,0.2,0.9,1.0,0.1,-inf,False,"[0, 1]"
72,inf,0.0,0.1,0.2,1.0,1.1,inf,0.1,True,"[2, 0]"
73,inf,0.0,0.1,0.2,1.0,1.1,0.1,-inf,False,"[0, 1]"
74,inf,0.0,0.1,0.2,1.1,1.2,inf,0.1,True,"[2, 0]"
75,inf,0.0,0.1,0.2,1.1,1.2,0.1,-inf,False,"[0, 1]"
76,inf,0.0,0.1,0.2,1.2,1.3,inf,0.1,True,"[2, 0]"
77,inf,0.0,0.1,0.2,1.2,1.3,0.1,-inf,False,"[0, 1]"
78,inf,0.0,0.1,0.2,1.3,1.4,inf,0.1,True,"[2, 0]"
79,inf,0.0,0.1,0.2,1.3,1.4,0.1,-inf,False,"[0, 1]"
80,inf,0.0,0.1,0.2,1.4,1.5,inf,0.1,True,"[2, 0]"
81,inf,0.0,0.1,0.2,1.4,1.5,0.1,-inf,False,"[0, 1]"
82,inf,0.0,0.1,0.2,1.5,1.9,inf,-inf,True,"[8, 0]"
83,inf,0.0,0.1,0.2,1.9,2.0,inf,0.1,True,"[2, 0]"
84,inf,0.0,0.1,0.2,1.9,2.0,0.1,-inf,False,"[0, 1]"
85,inf,0.0,0.1,0.2,2.0,-inf,inf,0.1,True,"[2, 0]"
86,inf,0.0,0.1,0.2,2.0,-inf,0.1,-inf,False,"[0, 1]"
87,inf,0.0,0.2,0.3,inf,0.3,inf,0.1,True,"[2, 0]"
88,inf,0.0,0.2,0.3,inf,0.3,0.1,-inf,False,"[0, 1]"
89,inf,0.0,0.2,0.3,0.3,0.4,inf,0.1,True,"[2, 0]"
90,inf,0.0,0.2,0.3,0.3,0.4,0.1,-inf,False,"[0, 1]"
91,inf,0.0,0.2,0.3,0.4,0.5,inf,0.1,True,"[2, 0]"
92,inf,0.0,0.2,0.3,0.4,0.5,0.1,-inf,False,"[0, 1]"
93,inf,0.0,0.2,0.3,0.5,0.6,inf,0.1,True,"[2, 0]"
94,inf,0.0,0.2,0.3,0.5,0.6,0.1,-inf,False,"[0, 1]"
95,inf,0.0,0.2,0.3,0.6,0.7,inf,0.1,True,"[2, 0]"
96,inf,0.0,0.2,0.3,0.6,0.7,0.1,-inf,False,"[0, 1]"
97,inf,0.0,0.2,0.3,0.7,0.8,inf,0.1,True,"[2, 0]"
98,inf,0.0,0.2,0.3,0.7,0.8,0.1,-inf,False,"[0, 1]"
99,inf,0.0,0.2,0.3,0.8,0.9,inf,0.1,True,"[2, 0]"
100,inf,0.0,0.2,0.3,0.8,0.9,0.1,-inf,False,"[0, 1]"
101,inf,0.0,0.2,0.3,0.9,1.0,inf,0.1,True,"[2, 0]"
102,inf,0.0,0.2,0.3,0.9,1.0,0.1,-inf,False,"[0, 1]"
103,inf,0.0,0.2,0.3,1.0,1.1,inf,0.1,True,"[2, 0]"
104,inf,0.0,0.2,0.3,1.0,1.1,0.1,-inf,False,"[0, 1]"
105,inf,0.0,0.2,0.3,1.1,1.3,inf,-inf,True,"[4, 0]"
106,inf,0.0,0.2,0.3,1.3,1.4,inf,0.1,True,"[2, 0]"
107,inf,0.0,0.2,0.3,1.3,1.4,0.1,-inf,False,"[0, 1]"
108,inf,0.0,0.2,0.3,1.4,1.8,inf,-inf,True,"[8, 0]"
109,inf,0.0,0.2,0.3,1.8,1.9,inf,0.1,True,"[2, 0]"
110,inf,0.0,0.2,0.3,1.8,1.9,0.1,-inf,False,"[0, 1]"
111,inf,0.0,0.2,0.3,1.9,2.0,inf,0.1,True,"[2, 0]"
112,inf,0.0,0.2,0.3,1.9,2.0,0.1,-inf,False,"[0, 1]"
113,inf,0.0,0.2,0.3,2.0,-inf,inf,0.1,True,"[2, 0]"
114,inf,0.0,0.2,0.3,2.0,-inf,0.1,-inf,False,"[0, 1]"
115,inf,0.0,0.3,0.4,inf,0.3,inf,0.1,True,"[2, 0]"
116,inf,0.0,0.3,0.4,inf,0.3,0.1,-inf,False,"[0, 1]"
117,inf,0.0,0.3,0.4,0.3,0.4,inf,0.1,True,"[2, 0]"
118,inf,0.0,0.3,0.4,0.3,0.4,0.1,-inf,False,"[0, 1]"
119,inf,0.0,0.3,0.4,0.4,0.5,inf,0.1,True,"[2, 0]"
120,inf,0.0,0.3,0.4,0.4,0.5,0.1,-inf,False,"[0, 1]"
121,inf,0.0,0.3,0.4,0.5,0.6,inf,0.1,True,"[2, 0]"
122,inf,0.0,0.3,0.4,0.5,0.6,0.1,-inf,False,"[0, 1]"
123,inf,0.0,0.3,0.4,0.6,0.7,inf,0.1,True,"[2, 0]"
124,inf,0.0,0.3,0.4,0.6,0.7,0.1,-inf,False,"[0, 1]"
125,inf,0.0,0.3,0.4,0.7,0.8,inf,0.1,True,"[2, 0]"
126,inf,0.0,0.3,0.4,0.7,0.8,0.1,-inf,False,"[0, 1]"
127,inf,0.0,0.3,0.4,0.8,0.9,inf,0.1,True,"[2, 0]"
128,inf,0.0,0.3,0.4,0.8,0.9,0.1,-inf,False,"[0, 1]"
129,inf,0.0,0.3,0.4,0.9,1.0,inf,0.1,True,"[2, 0]"
130,inf,0.0,0.3,0.4,0.9,1.0,0.1,-inf,False,"[0, 1]"
131,inf,0.0,0.3,0.4,1.0,1.1,inf,0.1,True,"[2, 0]"
132,inf,0.0,0.3,0.4,1.0,1.1,0.1,-inf,False,"[0, 1]"
133,inf,0.0,0.3,0.4,1.1,1.2,inf,0.1,True,"[2, 0]"
134,inf,0.0,0.3,0.4,1.1,1.2,0.1,-inf,False,"[0, 1]"
135,inf,0.0,0.3,0.4,1.2,1.3,inf,0.1,True,"[2, 0]"
136,inf,0.0,0.3,0.4,1.2,1.3,0.1,-inf,False,"[0, 1]"
137,inf,0.0,0.3,0.4,1.3,1.4,inf,0.1,True,"[2, 0]"
138,inf,0.0,0.3,0.4,1.3,1.4,0.1,-inf,False,"[0, 1]"
139,inf,0.0,0.3,0.4,1.4,1.5,inf,0.1,True,"[2, 0]"
140,inf,0.0,0.3,0.4,1.4,1.5,0.1,-inf,False,"[0, 1]"
141,inf,0.0,0.3,0.4,1.5,1.6,inf,-inf,True,"[2, 0]"
142,inf,0.0,0.3,0.4,1.6,1.7,inf,0.1,True,"[2, 0]"
143,inf,0.0,0.3,0.4,1.6,1.7,0.1,-inf,False,"[0, 1]"
144,inf,0.0,0.3,0.4,1.7,1.8,inf,-inf,True,"[2, 0]"
145,inf,0.0,0.3,0.4,1.8,1.9,inf,0.1,True,"[2, 0]"
146,inf,0.0,0.3,0.4,1.8,1.9,0.1,-inf,False,"[0, 1]"
147,inf,0.0,0.3,0.4,1.9,2.0,inf,0.1,True,"[2, 0]"
148,inf,0.0,0.3,0.4,1.9,2.0,0.1,-inf,False,"[0, 1]"
149,inf,0.0,0.3,0.4,2.0,-inf,inf,0.1,True,"[2, 0]"
150,inf,0.0,0.3,0.4,2.0,-inf,0.1,-inf,False,"[0, 1]"
151,inf,0.0,0.4,0.5,inf,0.3,inf,0.1,True,"[2, 0]"
152,inf,0.0,0.4,0.5,inf,0.3,0.1,-inf,False,"[0, 1]"
153,inf,0.0,0.4,0.5,0.3,0.4,inf,0.1,True,"[2, 0]"
154,inf,0.0,0.4,0.5,0.3,0.4,0.1,-inf,False,"[0, 1]"
155,inf,0.0,0.4,0.5,0.4,0.5,inf,0.1,True,"[2, 0]"
156,inf,0.0,0.4,0.5,0.4,0.5,0.1,-inf,False,"[0, 1]"
157,inf,0.0,0.4,0.5,0.5,0.6,inf,0.1,True,"[2, 0]"
158,inf,0.0,0.4,0.5,0.5,0.6,0.1,-inf,False,"[0, 1]"
159,inf,0.0,0.4,0.5,0.6,0.7,inf,0.1,True,"[2, 0]"
160,inf,0.0,0.4,0.5,0.6,0.7,0.1,-inf,False,"[0, 1]"
161,inf,0.0,0.4,0.5,0.7,0.8,inf,0.1,True,"[2, 0]"
162,inf,0.0,0.4,0.5,0.7,0.8,0.1,-inf,False,"[0, 1]"
163,inf,0.0,0.4,0.5,0.8,0.9,inf,0.1,True,"[2, 0]"
164,inf,0.0,0.4,0.5,0.8,0.9,0.1,-inf,False,"[0, 1]"
165,inf,0.0,0.4,0.5,0.9,1.0,inf,0.1,True,"[2, 0]"
166,inf,0.0,0.4,0.5,0.9,1.0,0.1,-inf,False,"[0, 1]"
167,inf,0.0,0.4,0.5,1.0,1.1,inf,0.1,True,"[2, 0]"
168,inf,0.0,0.4,0.5,1.0,1.1,0.1,-inf,False,"[0, 1]"
169,inf,0.0,0.4,0.5,1.1,1.2,inf,-inf,True,"[2, 0]"
170,inf,0.0,0.4,0.5,1.2,1.3,inf,0.1,True,"[2, 0]"
171,inf,0.0,0.4,0.5,1.2,1.3,0.1,-inf,False,"[0, 1]"
172,inf,0.0,0.4,0.5,1.3,1.4,inf,-inf,True,"[2, 0]"
173,inf,0.0,0.4,0.5,1.4,1.5,inf,0.1,True,"[2, 0]"
174,inf,0.0,0.4,0.5,1.4,1.5,0.1,-inf,False,"[0, 1]"
175,inf,0.0,0.4,0.5,1.5,1.6,inf,0.1,True,"[2, 0]"
176,inf,0.0,0.4,0.5,1.5,1.6,0.1,-inf,False,"[0, 1]"
177,inf,0.0,0.4,0.5,1.6,2.0,inf,-inf,True,"[8, 0]"
178,inf,0.0,0.4,0.5,2.0,-inf,inf,0.1,True,"[2, 0]"
179,inf,0.0,0.4,0.5,2.0,-inf,0.1,-inf,False,"[0, 1]"
180,inf,0.0,0.5,0.6,inf,0.3,inf,0.1,True,"[2, 0]"
181,inf,0.0,0.5,0.6,inf,0.3,0.1,-inf,False,"[0, 1]"
182,inf,0.0,0.5,0.6,0.3,0.4,inf,0.1,True,"[2, 0]"
183,inf,0.0,0.5,0.6,0.3,0.4,0.1,-inf,False,"[0, 1]"
184,inf,0.0,0.5,0.6,0.4,0.5,inf,0.1,True,"[2, 0]"
185,inf,0.0,0.5,0.6,0.4,0.5,0.1,-inf,False,"[0, 1]"
186,inf,0.0,0.5,0.6,0.5,0.6,inf,0.1,True,"[2, 0]"
187,inf,0.0,0.5,0.6,0.5,0.6,0.1,-inf,False,"[0, 1]"
188,inf,0.0,0.5,0.6,0.6,0.7,inf,0.1,True,"[2, 0]"
189,inf,0.0,0.5,0.6,0.6,0.7,0.1,-inf,False,"[0, 1]"
190,inf,0.0,0.5,0.6,0.7,0.8,inf,0.1,True,"[2, 0]"
191,inf,0.0,0.5,0.6,0.7,0.8,0.1,-inf,False,"[0, 1]"
192,inf,0.0,0.5,0.6,0.8,0.9,inf,0.1,True,"[2, 0]"
193,inf,0.0,0.5,0.6,0.8,0.9,0.1,-inf,False,"[0, 1]"
194,inf,0.0,0.5,0.6,0.9,1.0,inf,0.1,True,"[2, 0]"
195,inf,0.0,0.5,0.6,0.9,1.0,0.1,-inf,False,"[0, 1]"
196,inf,0.0,0.5,0.6,1.0,1.1,inf,0.1,True,"[2, 0]"
197,inf,0.0,0.5,0.6,1.0,1.1,0.1,-inf,False,"[0, 1]"
198,inf,0.0,0.5,0.6,1.1,1.2,inf,-inf,True,"[2, 0]"
199,inf,0.0,0.5,0.6,1.2,1.3,inf,0.1,True,"[2, 0]"
200,inf,0.0,0.5,0.6,1.2,1.3,0.1,-inf,False,"[0, 1]"
201,inf,0.0,0.5,0.6,1.3,1.4,inf,0.1,True,"[2, 0]"
202,inf,0.0,0.5,0.6,1.3,1.4,0.1,-inf,False,"[0, 1]"
203,inf,0.0,0.5,0.6,1.4,1.5,inf,0.1,True,"[2, 0]"
204,inf,0.0,0.5,0.6,1.4,1.5,0.1,-inf,False,"[0, 1]"
205,inf,0.0,0.5,0.6,1.5,1.6,inf,0.1,True,"[2, 0]"
206,inf,0.0,0.5,0.6,1.5,1.6,0.1,-inf,False,"[0, 1]"
207,inf,0.0,0.5,0.6,1.6,1.7,inf,0.1,True,"[2, 0]"
208,inf,0.0,0.5,0.6,1.6,1.7,0.1,-inf,False,"[0, 1]"
209,inf,0.0,0.5,0.6,1.7,1.8,inf,-inf,True,"[2, 0]"
210,inf,0.0,0.5,0.6,1.8,1.9,inf,0.1,True,"[2, 0]"
211,inf,0.0,0.5,0.6,1.8,1.9,0.1,-inf,False,"[0, 1]"
212,inf,0.0,0.5,0.6,1.9,2.0,inf,0.1,True,"[2, 0]"
213,inf,0.0,0.5,0.6,1.9,2.0,0.1,-inf,False,"[0, 1]"
214,inf,0.0,0.5,0.6,2.0,-inf,inf,0.1,True,"[2, 0]"
215,inf,0.0,0.5,0.6,2.0,-inf,0.1,-inf,False,"[0, 1]"
216,inf,0.0,0.6,0.7,inf,0.3,inf,-inf,True,"[2, 0]"
217,inf,0.0,0.6,0.7,0.3,0.4,inf,0.1,True,"[2, 0]"
218,inf,0.0,0.6,0.7,0.3,0.4,0.1,-inf,False,"[0, 1]"
219,inf,0.0,0.6,0.7,0.4,0.5,inf,-inf,True,"[2, 0]"
220,inf,0.0,0.6,0.7,0.5,0.6,inf,0.1,True,"[2, 0]"
221,inf,0.0,0.6,0.7,0.5,0.6,0.1,-inf,False,"[0, 1]"
222,inf,0.0,0.6,0.7,0.6,0.7,inf,0.1,True,"[2, 0]"
223,inf,0.0,0.6,0.7,0.6,0.7,0.1,-inf,False,"[0, 1]"
224,inf,0.0,0.6,0.7,0.7,0.8,inf,0.1,True,"[2, 0]"
225,inf,0.0,0.6,0.7,0.7,0.8,0.1,-inf,False,"[0, 1]"
226,inf,0.0,0.6,0.7,0.8,1.0,inf,-inf,True,"[4, 0]"
227,inf,0.0,0.6,0.7,1.0,1.1,inf,0.1,True,"[2, 0]"
228,inf,0.0,0.6,0.7,1.0,1.1,0.1,-inf,False,"[0, 1]"
229,inf,0.0,0.6,0.7,1.1,1.2,inf,-inf,True,"[2, 0]"
230,inf,0.0,0.6,0.7,1.2,1.3,inf,0.1,True,"[2, 0]"
231,inf,0.0,0.6,0.7,1.2,1.3,0.1,-inf,False,"[0, 1]"
232,inf,0.0,0.6,0.7,1.3,1.4,inf,-inf,True,"[2, 0]"
233,inf,0.0,0.6,0.7,1.4,1.5,inf,0.1,True,"[2, 0]"
234,inf,0.0,0.6,0.7,1.4,1.5,0.1,-inf,False,"[0, 1]"
235,inf,0.0,0.6,0.7,1.5,1.7,inf,-inf,True,"[4, 0]"
236,inf,0.0,0.6,0.7,1.7,1.8,inf,0.1,True,"[2, 0]"
237,inf,0.0,0.6,0.7,1.7,1.8,0.1,-inf,False,"[0, 1]"
238,inf,0.0,0.6,0.7,1.8,1.9,inf,-inf,True,"[2, 0]"
239,inf,0.0,0.6,0.7,1.9,2.0,inf,0.1,True,"[2, 0]"
240,inf,0.0,0.6,0.7,1.9,2.0,0.1,-inf,False,"[0, 1]"
241,inf,0.0,0.6,0.7,2.0,-inf,inf,0.1,True,"[2, 0]"
242,inf,0.0,0.6,0.7,2.0,-inf,0.1,-inf,False,"[0, 1]"
243,inf,0.0,0.7,0.8,inf,0.4,inf,-inf,True,"[4, 0]"
244,inf,0.0,0.7,0.8,0.4,0.5,inf,0.1,True,"[2, 0]"
245,inf,0.0,0.7,0.8,0.4,0.5,0.1,-inf,False,"[0, 1]"
246,inf,0.0,0.7,0.8,0.5,0.6,inf,-inf,True,"[2, 0]"
247,inf,0.0,0.7,0.8,0.6,0.7,inf,0.1,True,"[2, 0]"
248,inf,0.0,0.7,0.8,0.6,0.7,0.1,-inf,False,"[0, 1]"
249,inf,0.0,0.7,0.8,0.7,1.1,inf,-inf,True,"[8, 0]"
250,inf,0.0,0.7,0.8,1.1,1.2,inf,0.1,True,"[2, 0]"
251,inf,0.0,0.7,0.8,1.1,1.2,0.1,-inf,False,"[0, 1]"
252,inf,0.0,0.7,0.8,1.2,1.3,inf,0.1,True,"[2, 0]"
253,inf,0.0,0.7,0.8,1.2,1.3,0.1,-inf,False,"[0, 1]"
254,inf,0.0,0.7,0.8,1.3,1.4,inf,0.1,True,"[2, 0]"
255,inf,0.0,0.7,0.8,1.3,1.4,0.1,-inf,False,"[0, 1]"
256,inf,0.0,0.7,0.8,1.4,1.5,inf,0.1,True,"[2, 0]"
257,inf,0.0,0.7,0.8,1.4,1.5,0.1,-inf,False,"[0, 1]"
